title,question,answer,lang_type,link
Koronavirus og covid-19,Korleis skriv vi namnet på viruset og sjukdommen?,"På norsk skriv vi koronavirus med k og med liten forbokstav. Namnet på sjukdommen er covid-19. Korona Koronaviruset har namn etter utsjånaden. I eit elektronmikroskop kan ein sjå at viruset har ein membran med små piggar på. Dette kan minne om den ytste delen av solatmosfæren, koronaen. Ordet korona kjem frå latin corona ‘krans, krone’. Det vart nytta som fagord i norsk lenge før koronapandemien, og vi har skrive det med k i over hundre år. Det bør uttalast bokstavrett, med to o-lydar. Det koronaviruset som er årsak til covid-19, har i det internasjonale medisinske fagspråket fått namnet SARS-CoV-2, ei forkorting for «Severe acute respiratory syndrome coronavirus 2». Det er vanleg å kalle dette nye viruset koronaviruset i bunden form eintal, sjølv om det finst fleire slag koronavirus. Samansetninga koronavirus er eit vanleg samnamn (fellesnamn) som skal ha liten forbokstav. Korona blir ofte brukt både om viruset og sjukdommen, og det er greitt til dagleg, men skal ein vere heilt presis, må ein skilje mellom viruset SARS-CoV-2 og sjukdommen covid-19. Koronaen i bunden form (særleg brukt om koronapandemien/-krisa) vart kåra til årets norske ord i 2020. Covid Namnet covid-19 er ei forkorting av «coronavirus disease 2019». Vi tilrår å skrive covid-19 med små bokstavar. Det følgjer same mønster som hiv og sars. Generelt har sjukdomsnamn liten forbokstav på norsk. Ein kan trygt uttale ordet rett fram, som «kóvid» (med vanleg o); det er ikkje nødvendig å seie til dømes «kåuvidd» eller «kåvvidd». Du kan lese meir om både koronapandemien og covid i Store norske leksikon.",nob,https://sprakradet.no/spraksporsmal-og-svar/koronavirus-og-covid-19/
Å stå opp for?,Det har blitt veldig vanlig å si at den og den «står opp for» en sak eller en gruppe. Er ikke det en direkte oversettelse av «stand up for»?,"Jo, påvirkning fra engelsk er nok forklaringen på det meste av bruken. Se artikkelen om oversettelseslån på nettsidene våre. I eldre tekster betyr uttrykket «stå opp for» helst å reise seg for (eller foran) helt konkret. Det kan også vise til det Jesus gjorde for menneskene (han stod så å si opp « for oss» fra de døde). Men uttrykket har blitt brukt i den aktuelle betydningen ganske lenge. Det ser ut til at selveste Sigrid Undset brukte det slik i Kristin Lavransdatter (se naob.no og nb.no). Merk likevel at dette langt fra var vanlig språkbruk før. Det kan ikke være tvil om at den økte bruken i de senere år har med påvirkning fra engelsk å gjøre. Noen søk kan bekrefte det. Nedenfor har vi satt inn en figur som viser resultatet av et avissøk i Nasjonalbibliotekets kilder. Du kan også søke etter frasen «stå opp for dem» i bokkilder på nb.no og sortere treffene i kronologisk. Da vil du se at de første treffene ikke er særlig gamle, og at mange av bøkene er oversettelser. Det er mulig «å stå opp mot» uttrykkene «stå opp mot» og «stå opp for», men det nok umulig å få bukt med dem. De glir lett inn i norsk blant liknende uttrykk, og de har klort seg godt fast. Vi vil likevel anbefale bruk av synonymer når noen spør, for det er flere som irriterer seg over den motepregede bruken av disse frasene. Endring i bruksfrekvens Resultat av søk etter uttrykket «stå opp for» og et av synonymene («[slå] et slag for») i aviskilder ved nb.no:",nob,https://sprakradet.no/spraksporsmal-og-svar/a-sta-opp-for/
Ras og skred – likheter og forskjeller,Hva er egentlig forskjellen på ras og skred?,"Ordene brukes mye om hverandre, men det finnes viktige nyanser. Ras: Alt som løsner og raser ut eller ned, kan i prinsippet kalles ras. Eksempel: Når det raser snø fra taket, kaller vi det snøras eller takras. Skred er likevel det vanligste ordet for store ras i naturen. Det gjelder både i fagspråket og allmennspråket. Se for eksempel nettstedet varsom.no. Opprinnelsen til ordet skred Substantivet skred stammer fra gammelnorsk skrið. Det er avledet av verbet å skri eller skride (gammelnorsk skríða), som blant annet betyr ‘å gå’, jamfør uttrykket det går et skred. Ordet er fellesnordisk. Danskene har det visst fra svensk. Uttalen av skred Den siste bokstaven i skrið er en stungen d, som stod for en th-lyd i gammelnorsk. Den lyden forsvant for mange hundre år siden. /Skred/ med d er bokmålsuttale. I dialektene har skred stort sett blitt uttalt uten d. Andre varianter Noen steder heter det ei skrei (av skreið), men i de fleste bygder har man heller brukt det svake hunkjønnsordet skrede (av gammelnorsk skriða). Det uttales /ei skre(e)/ eller /ei skrea/. Ordet kan vise til både om skredhendelsen og stedet der skredet har gått. Det finnes derfor i mange stedsnavn. På nynorsk kan man trygt skrive ei skrede. Se ellers bolken «Hendingar med snø» på denne siden. Der er blant annet fonn nevnt. Det kan brukes slik: «Det gikk ei fonn i fjellet.» Lavine I dansk brukes ordet lavine en god del. Også på norsk (vel å merke i bokmål) har lavine vært ganske vanlig. I dag bruker vi det nesten bare i sammensetningen lavinehund. Vi avslutter med et sitat fra Knud Knudsens fornorskingsordbok Unorsk og norsk, eller Fremmedords avløsning (1881):",nno,https://sprakradet.no/spraksporsmal-og-svar/ras-og-skred-likheter-og-forskjeller/
Ren energi + pakke =?,Hvordan skal vi stave navnet ren energi-pakken?,"Du har stavet det helt riktig. For det første har navn på lover og regelverk stort sett liten forbokstav på norsk. Det heter for eksempel jernbanepakken. Hvis vi setter sammen uttrykket ren energi med pakke uten videre, får vi * ren energipakken. Men det er ikke en god skrivemåte. Det ser ut som om ren står til helheten energipakken og ikke bare til energi! Derfor må vi sette inn en bindestrek, slik at vi lettere ser hva som hører sammen med hva. Den riktige skrivemåten er altså: ren energi-pakken Slik kan vi gjøre med de fleste uttrykk med adjektiv + substantiv + substantiv. Hvis vi vil være ekstra tydelige, kan vi også bruke to bindestreker.",nob,https://sprakradet.no/spraksporsmal-og-svar/ren-energi-pakke/
Masse lykke til?,Er det språklig sett riktig å ønske noen masse lykke til?,"Det kan vanskelig stemples som direkte galt. Dette er nok mest et spørsmål om smak og stil. Ifølge Bokmålsordboka brukes masse blant annet i vendinger som «det kom masse folk på festen», «å tjene masse penger» og «få masse bry med noe». Ut fra dette er kanskje også masse lykke mulig, som i for eksempel «han følte masse lykke» eller «det var masse lykke der i huset». Men vanlig er det ikke, og det er nok mange som vil reagere på det. Det spesielle med masse lykke til er at masse her er satt foran et fast hilsningsformular med flere ord. Det blir omtrent som å si «masse skål for jubilanten» eller «masse takk for maten». En mottaker som ikke selv har den utvidede hilsenen på repertoaret, kan bli usikker på om masse står til substantivet rett etter eller til hele hilsenen. I tilfelle det siste nærmer vi oss en uttrykksmåte som *masse god jul, som svært få vil godta. Vi har fått flere reaksjoner på vendingen masse lykke til de siste årene. Noen mener at den skurrer grammatisk, noen synes den er barnslig, og noen er bare forundret over at den har spredd seg så fort. Uansett er uttrykket typisk muntlig og motepreget. Det kan tale for å ikke å bruke det ukritisk, for eksempel i formelle situasjoner. Dessuten er det, satt på spissen, språklig inflasjonsdrivende. Masse lykke til bidrar til å redusere verdien av lykke til alene.",nob,https://sprakradet.no/spraksporsmal-og-svar/masse-lykke-til/
Unnskyldninger – til og fra hvem?,Kan man selv si at man unnskylder noe galt som man har gjort?,"Det har blitt vanlig å si «Jeg unnskylder (for) at …» når man ber om unnskyldning. Politikere kan for eksempel bruke «Unnskyld», «Jeg vil unnskylde» og «Jeg vil gi en unnskyldning» om akkurat det samme. Men o pprinnelig er det å unnskylde nærmest det motsatte av å be om unnskyldning. Litt forenklet sagt er det bare den man sier «Unnskyld!» til, som kan unnskylde en. Motsatte perspektiv Vi kan si at dette er hovedsystemet: Per ber (Kari) om unnskyldning (f.eks. ved å si Unnskyld!) Kari kan «unnskylde» Per for det han har gjort Det er altså Kari som har makt til å fjerne skylda (unnskylde), ikke Per. Men vi har et tillegg til systemet, som ser ut til å stå i motsetning til det. Å unnskylde betyr her nærmest ‘å si unnskyld’: Per unnskylder til Kari. Et visst historisk grunnlag Det er ikke så underlig at den andre betydningen av unnskylde sprer seg. En del tradisjonelle uttrykksmåter med refleksivt seg og preposisjon ligger nokså nær den nye, se artikkelen om undskylde i Ordbog over det danske Sprog under betydning 3. Den skyldige Per har lenge kunnet være subjekt i uttrykk som «Per unnskyldte sin oppførsel», «Per unnskyldte seg for …», og ikke minst «Per unnskyldte seg med …». Dessuten har å unnskylde seg lenge vært brukt om å be «uspesifisert» om unnskyldning. Men merk at det her ikke vises til selve tilgivelsen. Unnskyldning forstått som fritak for skyld er og blir en sosial dom som andre enn ovennevnte Per feller. Verbalsubstantivet unnskyldning kan lette og kamuflere rollebyttet. Også eldre språkbrukere godtar jo gjerne 1) «Kari ber Per om en unnskyldning», som er noe annet enn 2) «Kari ber Per om unnskyldning». Unnskyldning (1) er her å si unnskyld, mens unnskyldning (2) er tilgivelse. Denne dobbeltbetydningen er ikke ny. Vi finner ganske tidlig uttrykk som kreve (en) unnskyldning (fra noen), komme med en unnskyldning og gi en unnskyldning. Falske og dårlige unnskyldninger er riktig gammelt i språket. Selv om NN unnskylder at (= ‘ber om unnskyldning for at’) først ble vanlig i skrift etter 1990, har uttrykksmåten altså røtter som går lenger tilbake. I Det Norske Akademis ordbok har det nye unnskylde fått en egen plass: «unnskylde 5 ‘ uttrykke at man er lei for (å ha forårsaket skade, ubehagelighet eller for å ha forsømt seg e.l.); be om unnskyldning (for); beklage’». Det samme begrepet finner vi under betydning 2 i Den Danske Ordbog. Det er likevel tryggest å si unnskyld eller be om unnskyldning Selv om utviklingen sikkert går sin gang, vil Språkrådet støtte de mange som skriver til oss og beklager seg. Vi kan hilse fra dem og oppfordre folk til å skrive «Beklager!», «Unnskyld!» eller «Jeg ber om unnskyldning!» når de vil lette samvittigheten, ikke minst den språklige. Dette er formuleringer som er felles for eldre og yngre, og som ikke skurrer for noen.",nob,https://sprakradet.no/spraksporsmal-og-svar/16564/
"Treffe, fatte eller gjøre vedtak?","Heter det å treffe, fatte eller gjøre vedtak? Og hva gjør man med avgjørelser?","Opprinnelig heter det å gjøre vedtak, men ganske tidlig begynte varianten treffe vedtak å presse seg på. I perioder har også fatte vedtak hevdet seg sterkt. Fatte er i denne sammenhengen smitte fra uttrykket fatte beslutning. Treffe skriver seg fra uttrykket treffe avgjørelse, som stammer fra kansellispråkets tid. I Ordbog over det danske Sprog står det at kombinasjoner av treffe og ord som forholdsregler, anstalter og forberedelser er «moderne Germanismer». De er typiske for embetsspråket. Til vanlig bruker de fleste heller vanligere norske verb som ta og gjøre, slik: treffe (et) valg > ta (et) valg, gjøre (et) valg treffe forberedelser > gjøre forberedelser treffe forholdsregler > ta forholdsregler treffe avgjørelser > ta avgjørelser De vanlige formuleringene med ta og gjøre er fullgode, også i forvaltningssammenheng.",nob,https://sprakradet.no/spraksporsmal-og-svar/treffe-fatte-eller-gjore-vedtak/
Hva er den største byen?,"Jeg lager en del kvisser, og i det siste har jeg fått kritikk for å stille spørsmål av typen «Hva er den største byen i Brasil?» og «Hva er hovedstaden i Australia?». Er det virkelig galt å formulere det slik? Kritikerne hevder at svaret på det siste spørsmålet for eksempel kan være «en stor by».","Dette er formuleringer som trolig blir rett forstått av de fleste, og de har nok kommet for å bli. Men kritikerne har likevel et poeng. Det er først de siste tiårene at det har blitt vanlig å stille spørsmålet «Hva er …» når man er ute etter navnet på noe. Før het det i stedet: Hva heter den største byen i Brasil? Hva heter hovedstaden i Australia? Eventuelt: Hvilken by er den største i Brasil? Hvilken by er hovedstad i Australia? (Men ikke: «Hvilken er den største byen …». Det er engelsk.) Konklusjon: Hvis man ikke vil irritere noen, er det best å velge «hva heter» i stedet for «hva er».",nob,https://sprakradet.no/spraksporsmal-og-svar/hva-er-den-storste-byen/
"Monkeypox eller mpox, apekopper eller m-kopper?",Heter sykdommen monkeypox apekopper på norsk? Eller skal vi nå skrive mpox?,"Det heter ingen av delene på norsk. I mangel av en mer beskrivende betegnelse bør vi skrive m-kopper. Bakgrunn Høsten 2022 bestemte Verdens helseorganisasjon (WHO) at betegnelsen monkeypox skulle erstattes av mpox. Meningen var å fjerne koplingen til aper og på den måten gjøre ordet mindre belastende. I kjølvannet av denne endringen vedtok Folkehelseinstituttet (FHI) å skifte ut den norske betegnelsen apekopper. Høsten 2022 ble Språkrådet spurt til råds. FHI opplyste at de vurderte alternativene a-kopper og m- kopper. Språkrådet bad FHI hente inn forslag til en mer beskrivende term fra fagmiljøene, og tilbød seg å vurdere dem. Ingen nye forslag ble lagt fram for Språkrådet. Vurdering Da andre alternativer enn mpox, a-kopper og m-kopper var utelukket, var Språkrådets primære anbefaling å unngå mpox, og det var det to grunner til: Mpox har ingen plass i rettskrivningen. Ingen norske ord begynner med mp-. En riktigere skrivemåte er m-pox, men den ville vært umulig å holde i hevd. Det er bare termene med -kopper som inneholder et kjent norsk ord for sykdom. Både a-kopper og m-kopper er derfor klart mer opplysende enn mpox. I valget mellom a-kopper og m-kopper tvilte Språkrådet seg fram til at m-kopper er å foretrekke. Det indirekte engelske innslaget i termen er et minus, men det må veies opp mot formålet med endringen. M -en gjør forbindelsen til ape mindre tydelig, og det var tross alt poenget med hele den utskiftingen som helsemyndighetene hadde tatt initiativet til. Det kan selvsagt diskuteres om m -en virkelig er tømt for mening. Alle de tre alternativene til apekopper er det vi kan kalle evfemismer, eller forskjønnende omskrivninger. I dette tilfellet går omskrivningen ut på forkorting. Alle termene har dermed det lytet at de bærer med seg noe av det som skulle skiftes ut. M står jo ikke for noe annet enn monkey ‘ape’. Konklusjon Konklusjonen er uansett at det bør hete m-kopper på norsk nå når apekopper er ute av bildet. Mpox må regnes som engelsk. Gruppe for medisinsk fagspråk har støttet denne konklusjonen i et innlegg i Tidsskrift for den norske Legeforening.",nob,https://sprakradet.no/spraksporsmal-og-svar/monkeypox-eller-mpox-apekopper-eller-m-kopper/
Kan dyr vera gravide og sjenerte?,I eit fjernsynsprogram for born vart ein hund omtalt som gravid og ein annan som sjenert. Det var løye å høyra. Er det rett ordbruk?,"Det er terminologisk tvilsamt og eit kraftig tradisjonsbrot å snakka om gravide dyr. Fagtermen er drektig. Både graviditet og sjenanse har stort sett vore reservert for menneske. Direkte omsetjing frå engelsk fremjar einsrettinga. Shy er både blyg (sjenert) og sky. Pregnant er både gravid og drektig. Å kalla dyr gravide eller sjenerte kan vera eit døme på menneskeleggjering av dyr, men oftast er det nok berre uttrykk for manglande kjennskap til nyansar i ordtilanget. Meir om «graviditet» Veterinærane har alltid snakka om drektige dyr, og bøndene gjer det same. Men bøndene har òg brukt heilt andre ord som har lengre fartstid i norsk, mellom anna tidd og bær. Merk: Begge orda blir brukte litt annleis enn drektig. Drektigheita er underforstått i uttrykk som kua er bær i januar eller kua er vårbær. Det å bli drektig kan òg heita å ta seg. Kalvtung og føltung er ord for ku og merr som er langt på veg. Meir om «sjenanse» På bokmål seier ein (folke)sky om alle slags dyr og folk, som i dansk, og det har vorte vanleg i nynorsk òg. I tradisjonell nynorsk og mange bygdemål har det heller heitt skygg eller skjerr. Døme frå diktet «Vandring» av austlendingen Halldis Moren Vesaas: Døme frå romanen Mot stupe av vestlendingen Ragnvald Vaage: Det motsette av skjerr er spak. Ville dyr er òg var e og vake. Elles kan både menneske og dyr vera lite lagkjære utan å vera direkte skjerre eller sjenerte.",nno,https://sprakradet.no/spraksporsmal-og-svar/kan-dyr-vera-gravide-og-sjenerte/
